frequencia,palabra,uso,definición,ejemplo
2730,novio,nm,"boyfriend, groom",su hija tiene novio y se va a casar muy pronto
2731,sonreír,v,to smile,"ella sonrió complaciente, seductora"
2732,espectador,nm,"spectator, onlooker","era un espectador escondido, un testigo sinnombre"
2733,relatar,v,"to tell, narrate",puedes relatar historias graciosamente
2734,pensado,adj,"thought-out, designed",tengo pensado otro sistema nuevo que voy aensayar mañana
2735,bota,nf,"boot, wineskin","de ver sus pies, calzados con pesadas botasmilitares"
2736,oh,interj,oh,"¡Oh! sí, soy tuya"
2737,pretexto,nm,"pretext, excuse",lo cual era sólo un pretexto para salir otra vezal mar
2738,horrible,adj,horrible,fallecidos recientemente en un horrible ylamentable accidente
2739,fiebre,nf,"fever, excitement",una fiebre me hizo arder la cabeza
2740,difundir,v,to spread (out),el bienestar comenzó a difundirse por todoslos rincones
2741,lucir,v,"to show (off), shine",lucía un viejo y arruinado traje
2742,síntesis,nf,synthesis,hago una síntesis de la suma de muchas ideas
2743,este,nm,East,es igual en el este como en el oeste
2744,nervio,nm,nerve,los impulsos se transmiten de un nervio a otro
2745,científico,nm/f,scientist,los científicos acometerán importantesinvestigaciones sobre biología
2746,peculiar,adj,peculiar,no lograba entender el peculiar humor deJulio
2747,ejemplar,adj,"exemplary, model",la fuga es también caso ejemplar de«transfinitud» en música
2748,grano,nm,"grain, kernel",se almacenaba el grano de trigo que a diarioconsumía Madrid
2749,recientemente,adv,recently,como si se conocieran recientemente 
2750,reservar,v,"to reserve, book",el destino me reservaba sus mejores revesespara esas fechas
2751,asistencia,nf,"attendance, assistance",habría reunión familiar y mi asistencia eraimportante
2752,sacrificar,v,to sacrifice,en el estudio tú a veces tienes que sacrificarsábados y domingos
2753,puramente,adv,"purely, simply",de fines puramente superficiales
2754,sonrisa,nf,smile,sus dientes blancos y su sonrisa fresca yluminosa
2755,exagerar,v,to exaggerate,una tendencia natural a exagerar el dramatismo de los sucesos
2756,león,nm,lion,"de animales carnívoros, tales como leones yhienas"
2757,bárbaro,adj,"savage, horrible",¡qué bárbaro! exclamaron a una sola voz
2758,aceptación,nf,"acceptance, approval",uno se contenta con la simple aceptación del destino
2759,labio,nm,lip,el labio estaba perforado de tanto morderse
2760,visitante,nc,visitor,era como si la casa se hubiera llenado devisitantes
2761,autónomo,adj,autonomous,"y luego el niño ya autónomo, ya libre, paradosobre sus dos pies"
2762,sonoro,adj,"loud, resounding",dijeron en voz alta y sonora que produjo una resonancia de muchos
2763,traslado,nm,transfer,para hacer el traslado de un sitio a otro
2764,residir,v,"to reside, live (in) ",la soberanía nacional reside en el puebloespañol
2765,tentación,nf,temptation,no resistí la tentación de tentarle con unatequila
2766,porvenir,nm,"future, time to come",la incertidumbre de un porvenir que no sepuede predecir
2767,promover,v,to promote,pudieron promover una mayor asistencia depúblico
2768,atracción,nf,attraction,la atracción mutua los llevó a darse el primerbeso
2769,jurídico,adj,"legal, juridical",para instituir un cuerpo legislativo y jurídicomás formal
2770,reparar,v,"to repair, restore",trabajar el doble para reparar los daños
2771,ilustre,adj,"renowned, illustrious","Platón, siguiendo a su ilustre maestro Sócrates"
2772,corona,nf,crown,colocaba la corona de laurel a los emper-adores romanos
2773,administrar,v,"to administer, manage",sus hijos sabían administrar el negocio
2774,docena,nf,dozen,la docena de huevos que se come en elalmuerzo
2775,ahorrar,v,"to save (money, time)","todos viajan en avión, para ahorrar horas"
2776,perfección,nf,perfection,advertimos la perfección técnica de la pintora
2777,humedad,nf,humidity,"sus altas temperaturas, su incómodahumedad y sus escasas lluvias"
2778,cosecha,nf,"harvest, crop",había hecho en el jardín una abundantecosecha de flores
2779,enterrar,v,to bury,lo enterró profundamente bajo las raíces deun lapacho
2780,desesperación,nf,"desperation, exasperation",era una desesperación no poder darles lasolución justa
2781,curva,nf,curve,lo hacen siguiendo una trayectoria curva y no en línea recta
2782,contraer,v,"to contract, shrink, abbreviate",los padres les impedían contraer matrimonio
2783,blando,adj,"soft, limp, gentle",era un lecho nada de blando y nada decómodo
2784,estable,adj,"stable, steady","pueden edificar una relación estable, basadaen el amor"
2785,ciertamente,adv,"certainly, indeed","y si había otra persona, ciertamente no eraLópez"
2786,dormido,adj,"asleep, sleeping",arrulló al niño dormido en la cama pequeña
2787,amo,nm,"master, boss (m) ",esta pasión desigual entre el amo y el esclavo
2788,reflexionar,v,"to reflect, consider on",he podido reflexionar sobre el concepto moral
2789,humo,nm,smoke,inhala el humo del cigarrillo que ya le quemalos dedos
2790,realización,nf,"fulfillment, realization",Los sueños son la realización de deseosinsatisfechos
2791,cuartel,nm,"quarters, barracks",me trasladé al cuartel de policía
2792,tránsito,nm,"traffic, transit",no había tránsito de vehículos en ningúnsentido
2793,dieciséis,num,sixteen,tenía entonces dieciséis años y ningunaexperiencia del mundo
2794,énfasis,nm,emphasis,han querido poner énfasis en sólo uno de losaspectos del narcotráfico
2795,tímido,adj,"timid, shy, half-hearted",soy muy tímido y no me atrevo a abordarlapor la calle
2796,empresario,nm,"manager, entrepreneur",la confianza del empresario en cubrir parcelasde mercado a corto plazo
2797,tuyo,pron,yours (sg/+fam),"es tuyo, te lo cedo"
2798,saco,nm,"sack, bag, plunder",¿hay algo que pese más que un saco depapas?
2799,vasto,adj,"vast, immense, huge",vi un vasto silencio caer sobre la tierra
2800,cruz,nf,"cross, burden",llevó la cruz del Dios hecho Hombre
2801,frustrado,adj,frustrated,"esa generación se quedó frustrada, comenzó a buscar espacios"
2802,pausa,nf,pause,"hizo una larga pausa, esperando la respuesta"
2803,comprometido,adj,"committed, engaged",y ella te habrá dicho que está comprometidaconmigo
2804,libremente,adv,freely,podamos elegir libremente a nuestrosrepresentantes
2805,vicio,nm,"vice, bad habit, defect",el fumar es el único vicio que me queda
2806,impuesto,nm,tax,el estereotipo es que los socialistas suben losimpuestos 
2807,consiguiente,adj,consequent; por consiguiente: consequently,"es mucho más agresiva y, por consiguiente,más peligrosa"
2808,arquitecto,nm/f,architect,la «dimensión humana» conseguida por elarquitecto para el nuevo museo
2809,cruce,nm,"crossing, intersection",somos un estado que está en el cruce deintereses geoestratégicos
2810,centrar,v,"to center, focus, base (on)",todo se centraba alrededor de la novela
2811,convivencia,nf,"coexistence, living together",el hogar es un elemento de convivencia dehombre y mujer
2812,cable,nm,"cable, wiring",se han instalado redes de cable para transmitirla señal televisiva
2813,aburrido,adj,"boring, bored","sin futuro, sin diversión, aburrida, con reglaspara todo"
2814,bondad,nf,"goodness, kindness","el cariño de su alma apasionada, llena debondad y dulzura"
2815,experimento,nm,experiment,hizo el experimento con partículas físicas
2816,recto,adj,"right, straight, honest",I. tomó una regla de ángulo recto de madera
2817,crónica,nf,"account, chronicle",inventó una crónica de la vida de Magdalenabastante creíble
2818,seguida,adv,"en seguida: right away, at once","me casé y bueno, ya empecé en seguida atener hijos"
2819,originar,v,"to give rise (to), cause",los fantasmas que origina son fenómenosópticos
2820,socialista,adj,socialist,se convirtió en el primer ministro socialistadel Reino Unido
2821,ahogar,v,"to drown, choke, flood",desea ahogar sus penas con el alcohol
2822,espléndido,adj,"splendid, generous","el interior espléndido, exquisito; es unaverdadera joya del arte"
2823,esforzar,v,"to make an effort, exert oneself",se esforzaba pero no podía avanzar más allá
2824,dictadura,nf,dictatorship,denunciaron al gobierno de Castro como unadictadura totalitaria
2825,eficacia,nf,"efficiency, effectiveness",existen métodos para medir la eficacia de este instrumento
2826,detectar,v,to detect,también pudimos detectar problemas con lascuras
2827,vapor,nm,"vapor, steam",el baño comenzó a llenarse de vapor 
2828,bebida,nf,"drink, beverage",los pacientes que consumen más de unabebida alcohólica por día
2829,autorizar,v,"to authorize, legalize",se niega a autorizar la boda de su hijo
2830,charla,nf,"talk, chat","la imaginó con sus preguntas, su charlaincesante"
2831,gestión,nf,"management, step, negotiation",hay deficiencias en la gestión de la economía
2832,afrontar,v,"to face, confront",los hombres deben afrontar las consecuenciasde sus actos
2833,existente,adj,existing,acumulaba el 80% del oro existente en elmundo
2834,cartera,nf,"wallet, satchel",había olvidado la cartera y no tenía dineropara el taxi
2835,inclinado,adj,"inclined, slanting",inclinado hacia abajo con un ángulo de unos 45°
2836,restar,v,"to subtract, minimize","sabía sumar, restar, multiplicar y adivinaba elfuturo"
2837,circulación,nf,"circulation, traffic",una de las avenidas en que hay mayorcirculación de microbuses
2838,denuncia,nf,accusation,no han dudado en presentar denuncia contrael presidente del gobierno
2839,concretar,v,"to materialize, fulfill",en ningún momento han sabido concretar suspeligrosos avances
2840,picar,v,"to bite, sting, itch",preguntándose qué bicho la picaba 
2841,tormenta,nf,storm,el calor tardío y el cielo plomizo amenazantormenta 
2842,metálico,adj,metallic,percibía el frío metálico de un revólver
2843,foco,nm,focus,constituyen - por así decirlo - el foco deatracción principal
2844,residencia,nf,residence,el Buckingham Palace es la residencia de lareina en Londres
2845,espectacular,adj,spectacular,íntimo restaurante con espectacular vista almar
2846,jurar,v,"to swear, take an oath","le juro que soy estudiante, mire mi credencial"
2847,rezar,v,"to pray, recite",era costumbre rezar el rosario después delpaseo
2848,cuero,nm,"leather, skin","pequeñas piezas de cuero, plástico, madera,caucho o metal"
2849,misterioso,adj,mysterious,que el arte tenga algo misterioso dentro de suverdadera esencia
2850,hierba,nf,"herb, grass, weed",hervía alguna hierba medicinal que agriaba el aire
2851,obrero,adj,working class,"cuatro secciones: obrera, campesina, populary militar"
2852,administrativo,adj,administrative,es la capital y el centro político y administrativo de Italia
2853,manzana,nf,"apple, (city) block","una importante cosecha de mandarinas,melones y manzanas"
2854,singular,adj,"single, singular",la puso muy contenta la singular visita de Sosa
2855,pedazo,nm,"piece, bit",le da un pedazo de pan
2856,sabiduría,nf,"wisdom, knowledge","admiro la sabiduría de todos esos filósofos,que saben tantas cosas"
2857,inducir,v,to lead to,esto induce la síntesis de todos los componentes del virus
2858,cigarrillo,nm,cigarette,"se sentaba, fumando cigarrillo tras cigarrillo"
2859,encantar,v,to be very pleasing to,"qué pieza tan linda, me encanta tu casa"
2860,crudo,adj,"raw, crude, natural","¡qué buen aspecto! // Un poco crudo. // Mejor,más natural"
2861,agotado,adj,"tired, used up, sold out","los franceses, agotados, también firmaron lapaz"
2862,deportivo,adj,"sports, sporty",oigo el bramido cercano de un cochedeportivo
2863,magnitud,nf,"magnitude, extent","salieron de sus casas, para ver toda lamagnitud del desastre"
2864,químico,adj,chemical,estos productos químicos emiten burbujas degas
2865,botón,nm,button,se prendió el último botón de la camisablanca
2866,teórico,adj,theoretical,"una formación muy teórica, muy académica,muy general"
2867,igualdad,nf,equality,plantean igualdad y no discriminación delpueblo cubano
2868,privar,v,to deprive (of),le priva al hombre de su libertad
2869,deducir,v,"to deduce, infer",no debe ser tan complicado deducir cuántocuesta eso
2870,redactar,v,"to edit, write, compose",piensa redactar el título de la obra
2871,noción,nf,"notion, idea",ha perdido la noción de que tal vez la uniónhace la fuerza
2872,planear,v,to plan,Enrique murió mientras planeaba una cruzadaa Tierra Santa
2873,abrazar,v,"to hug, embrace",la abrazó fuerte y la besó
2874,tolerar,v,"to tolerate, put up with",no toleraba sus injusticias
2875,semilla,nf,seed,cada una de esas leyendas contiene unasemilla de verdad
2876,avenida,nf,avenue,"la YMCA está en la avenida l6, esquina cinco,entre cuatro y cinco"
2877,descartar,v,"to discard, reject, rule out",lee una declaración oficial para descartardudas
2878,diablo,nm,devil,ni Dios ni el Diablo le escucharon
2879,sujetar,v,"to fasten, attach, hold",un pegamento para sujetar objetos metálicos
2880,hueco,nm,"hole, cavity",entonces se buscó un hueco entre las piedraso debajo de ellas
2881,colaborador,nm,collaborator,con ayuda de un colaborador de lengua rusa
2882,capricho,nm,"caprice, whim",no creáis que esto lo hacemos por merocapricho
2883,ciudadano,adj,"community, citizen",el deterioro creciente de la seguridadciudadana 
2884,prudente,adj,"sensible, prudent",no era prudente esa pregunta ahora // ¿Porqué no?
2885,guitarra,nf,guitar,"yo soy músico, toco el clarinete y la guitarra "
2886,agencia,nf,"agency, branch",es un empleado de la Agencia de Modelos«Cuerpo Perfecto»
2887,rabia,nf,rage,"fue un dolor intenso, solitario, una rabiainterna"
2888,telefónico,adj,telephone,el primer cable telefónico submarinotransoceánico del mundo
2889,monumento,nm,monument,los monumentos sepulcrales imitaron el estilosuntuoso del mausoleo
2890,racional,adj,rational,"no es racional, es una obsesión"
2891,previamente,adv,previously,aunque no esté incluida en forma religiosapreviamente establecida
2892,trazar,v,"to draw, trace",el bastón trazó un arco para señalar unadirección
2893,correspondencia,nf,"correspondence,connection","como corresponsal, redacto y dicto correspon-dencia en inglés"
2894,barro,nm,"clay, mud",lo mezclaron con arena y formaron un barrorico en compuestos orgánicos
2895,fuga,nf,"flight, escape",M. soñó de nuevo con la fuga de sus pájaros
2896,presionar,v,"to press, pressure","manipuló los discos y palancas, presionóbotones numerados"
2897,identificación,nf,identification,un objetivo relacionado con la identificaciónde genes
2898,contexto,nm,context,hay que situarlo en el contexto de la atenciónglobal que se presta
2899,sombrero,nm,"hat, sombrero",me daba cuenta del sombrero que llevaba enla cabeza
2900,reiterar,v,"to reiterate, repeat","no se preocupe - reiteró -, estamos paraservirla"
2901,ayudante,nc,"helper, assistant","al quedarse sin ayudante, tenía que hacerlotodo él solo"
2902,indiferente,adj,indifferent ,puede ser que no le guste o . . . sea indiferente 
2903,maniobra,nf,"maneuver, operation",no es comprensible que se produzcan unasmaniobras militares con fuego real
2904,inesperado,adj,"unexpected, unforeseen",fue tan inesperado que me pareció laimaginación
2905,distraer,v,to distract,el barullo de vehículos y transeúntes distraemi atención
2906,prejuicio,nm,prejudice,no quiere provocarle un perjuicio contranosotros
2907,tropezar,v,"to trip, stumble",suben con cuidado las escaleras para notropezar 
2908,recomendación,nf,recommendation,había tomado en serio la recomendación delmédico: ejercicio moderado
2909,francamente,adv,"frankly, openly",¿no te parece que debiéramos hablarfrancamente?
2910,diseñar,v,"to design, develop ",se han diseñado técnicas que emplean hacesde láser
2911,proveer,v,to provide,un jefe invisible proveía de uniformes ydocumentos oficiales
2912,seleccionar,v,to select,voy a seleccionar entre toda mi clientela acien personas
2913,convivir,v,to coexist,por su alergia no podía convivir con animalescon pelos
2914,instinto,nm,instinct,"yo sentí, con mi instinto femenino, que erasincero"
2915,sincero,adj,sincere,que un sentimiento sea auténtico y sincero 
2916,progresar,v,to progress,para darle oportunidad de progresar porquelugar hay para todos
2917,ideológico,adj,ideological,el pluralismo ideológico es la esencia de lademocracia
2918,precaución,nf,"caution, forethought",la precaución le había salvado la vida
2919,robo,nm,"theft, robbery",un ingenioso robo de más de cien millones de pesetas
2920,cabello,nm,hair,usted tiene el cabello largo y muy bonito
2921,utilidad,nf,"usefulness, utility",¡lo robarán todo y no será de utilidad paranadie!
2922,queja,nf,complaint,llegaban a la alcaldía para presentar sus quejas y sus demandas
2923,abundar,v,to be plentiful,quizás deba abundar con más tiempo yespacio
2924,celo,nm,"jealousy, zeal","está loco sino resentido, me tiene envidia,celos, me detesta"
2925,publicidad,nf,"advertising, publicity",ha logrado una de las campañas de publicidadmás exitosas
2926,ligado,adj,"linked, joined",se había sentido ligado a ella por unos lazosinstintivos y secretos
2927,índole,nf,"nature, temperament",eran de índole resignada y sumisa
2928,asimilar,v,to assimilate,incapaz de asimilar y comprender lo queestaba sucediendo
2929,prolongado,adj,"prolonged, lengthy",antes de saludarse con palabras se dieron unabrazo prolongado
2930,choque,nm,"crash, collision",el choque de meteoritos con las lunaspequeñas del planeta
2931,tecnología,nf,technology,la creación de efectos especiales contecnología electrónica
2932,tubo,nm,"tube, pipe",encendió un tubo fluorescente que iluminabael pequeño patio
2933,sordo,adj,"deaf, dull",el despertador soltó su grito sordo bajo laalmohada
2934,admirable,adj,admirable,su admirable vitalidad y su contagiosa alegríade vivir
2935,mercancía,nf,"goods, merchandise",se volvió comerciante para llevar mercancías a lejanos puertos
2936,tronco,nm,"trunk, torso","el árbol crecía, le salían más ramas del troncojoven"
2937,culto,nm,"worship, cult",por eso es que el culto a Dionisio estaba tanperseguido
2938,palma,nf,"palm tree, palm",en ocasiones las escribían en hojas de palma 
2939,prenda,nf,piece of clothing,encontró las llaves en alguna prenda de suropa
2940,coro,nm,"choir, chorus",un tenor que cantaba en el coro conacompañamiento de orquesta
2941,tejer,v,"to sew, weave",aprendió a tejer redes muy confiables
2942,túnel,nm,tunnel,"hay, pues, una luz al final del túnel"
2943,cercanía,nf,"nearness, proximity",se sitúa en la cercanía del polo sur
2944,proclamar,v,to proclaim,en 1810 se proclamó la independencia deEcuador
2945,cuchillo,nm,knife,se le cortó el dedo con cuchillo afinado
2946,desprecio,nm,"contempt, disdain",no pude ocultar mi mal humor ni midesprecio por ese hombre
2947,plástico,nm,plastic,pueden fabricarse estampando láminas deplástico en un molde
2948,complejo,nm,complex,Sevilla forma un complejo de civilización y de culturas
2949,plantar,v,to plant,decidió plantar la idea en su cabeza
2950,naranja,nf,orange (fruit),"todos los cítricos, incluidas naranjas, limonesy toronjas"
2951,derrotar,v,"to defeat, beat",pero no lograba derrotar mis dudas
2952,frenar,v,"to brake, restrain",frenó de golpe y la camioneta se detuvo
2953,voluntario,adj,"voluntary, volunteer",fue un exiliado voluntario de su patria
2954,adivinar,v,"to guess, solve",no podía adivinar lo que él iba a hacer
2955,cuota,nf,"quota, share, dues",cambiaron las reglas del «club» y nos bajaronla cuota 
2956,mosca,nf,fly (insect),en boca cerrada no entran moscas
2957,judicial,adj,judicial,la citación judicial significaba merocumplimiento de trámites
2958,pescar,v,to fish,se iría al río a pescar truchas
2959,doctrina,nf,"doctrine, teachings",los teólogos musulmanes conocían la doctrinade la teología cristiana
2960,reservado,adj,"reserved, booked",era un hombre muy reservado con sus planes
2961,laguna,nf,lagoon,por un total de 77 canales en el interior de lalaguna 
2962,distinción,nf,distinction,"vestía con elegancia y distinción, siempre lode última moda"
2963,tribu,nf,tribe,la unidad social celta era la tribu 
2964,refugio,nm,"shelter, refuge",al mediodía obligaba a buscar refugio a lasombra
2965,tragar,v,to swallow,no come; traga y bebe como un cerdo
2966,legítimo,adj,legitimate,dijo que jamás iba a abandonar a su legítimoesposo
2967,flotar,v,"to float, flutter","la hacen muy ligera, lo suficiente para flotaren el agua"
2968,convencional,adj,conventional,quiso que todo fuera convencional y en elviejo estilo
2969,sacudir,v,"to shake, jolt",un fuerte temblor lo hizo sacudir 
2970,gigantesco,adj,"giant, gigantic","un brazo poderoso, enorme, gigantesco,hercúleo, me arrebata"
2971,cena,nf,dinner,voy a poner la mesa para la cena 
2972,incertidumbre,nf,uncertainty,"no es posible vivir en el equívoco, en laincertidumbre de no saber quién soy"
2973,tierno,adj,"tender, soft","duro y tierno, serio y tarambana, demócrata yfeudal"
2974,ligeramente,adv,"slightly, lightly",habla con acento ligeramente extranjero
2975,aéreo,adj,"aerial, air",una política de transporte marítimo y aéreo 
2976,suprimir,v,"to suppress, delete",adoptó medidas contundentes para suprimirla violencia
2977,ahorro,nm,"saving, thrift",les resultaría acumular esos ahorros ycomprarse una vivienda
2978,sobrar,v,"to be too much, left over",no nos quería cobrar porque le sobraba plata
2979,brotar,v,to sprout,había visto brotar y crecer cada una de susplantas
2980,prisión,nf,"prison, imprisonment",no pudo escaparse de la prisión burocrática
2981,investigador,nm/f,"researcher, investigator",casi ningún investigador apuesta ya por lamonoterapia contra el sida
2982,técnico,nm/f,technician,por el trabajo de los técnicos que danasistencia técnica a los campesinos
2983,paraíso,nm,paradise,"es decir, la utopía de establecer un paraíso en la tierra"
2984,automático,adj,automatic,antes de ser pulverizados por el sistemaautomático de seguridad
2985,postre,nmf,dessert; a la postre: in the end,hay un postre de helados de fresas
2986,inquieto,adj,"restless, anxious","pero en el fondo me siento inquieto,incómodo"
2987,helado,adj,"iced, freezing, icy",azotada por la lluvia y golpeada por el heladoviento del sur
2988,plástico,adj,plastic,"pero su complejidad será plástica, cromática,texturológica"
2989,alimentación,nf,"feeding, food",su alimentación es además pobre en ácidosgrasos saturados
2990,miel,nf,honey,las abejas que almacenan miel y polen paraconsumo de los adultos
2991,vulgar,adj,"vulgar, common, banal",en nuestro amor no hubo nada vulgar omaterial
2992,desafío,nm,"challenge, provocation",se burlaban de él como un desafío personal
2993,aeropuerto,nm,airport,prohibió el aterrizaje del Concorde en elaeropuerto Kennedy
2994,valorar,v,to value,este estúpido no valora su riqueza
2995,diferenciar,v,"to differentiate, distinguish",hay que diferenciar muy bien el chiste delchisme
2996,abrigo,nm,"overcoat, shelter",hacía bastante frío y ella olvidó ponerse elabrigo
2997,hábil,adj,"skillful, clever","especialista muy listo, muy hábil, muycapacitado"
2998,veinticuatro,num,twenty-four,se quedan abiertas las veinticuatro horas
2999,sello,nm,"stamp, seal",de arrojar la carta en algún buzón sin sello niestampillas
3000,campana,nf,bell,sonó la campana para ir a comer
3001,destacado,adj,"outstanding, leading",una de las más destacadas figuras de la óperaactual
3002,encendido,adj,"turned on, burning","o voy apagar el equipo, o lo voy a dejarencendido "
3003,incidente,nm,incident,"surge un incidente, así de momento, que noestaba planeado"
3004,fragmento,nm,"fragment, passage",se descubrió un pequeño fragmento demeteorito en el Pacífico
3005,plano,adj,"flat, plain, even, level",eran cincelados en grandes losas planas depiedra
3006,compensar,v,"to compensate, make up for",nada podrá compensar mi culpa
3007,obligatorio,adj,"obligatory, compulsory",respeto el uso obligatorio del cinturón deseguridad
3008,asignar,v,"to assign, allocate",la notación algebraica asigna a cada casillauna letra y un número
3009,contemporáneo,adj,contemporary,en el mundo contemporáneo los problemasson globales
3010,suscitar,v,"to arouse, provoke",la pintura siempre suscitaba una respuesta en ella
3011,finalizar,v,"to end, finalize",faltaban como treinta minutos para finalizar el partido
3012,reforzar,v,"to reinforce, strengthen",decidió reforzar la seguridad con sendaspuertas férreas
3013,mina,nf,mine,parece la entrada a una mina de carbón
3014,restaurante,nm,restaurant,vamos a cenar en un restaurante del Centro
3015,porcentaje,nm,percentage,"en óptimas condiciones, es un porcentaje del 98,85 % de seguridad"
3016,conductor,nm/f,"driver, conductor","yo defendí al chofer, al conductor del vehículo"
3017,contigo,pron,with you,¿viene contigo mi papá?
3018,evolucionar,v,"to evolve, develop",«Homo sapiens» evolucionó hace 500.000años
3019,magia,nf,magic,"demuestra, como en un juego de magia, lanecesidad de lo misterioso"
3020,presidir,v,to preside over,el sacerdote iba a presidir una ceremoniaespecial
3021,comedor,nm,dining room,"quite la mesa, recoja el comedor y friegue losplatos"
3022,seriedad,nf,seriousness,"una imagen de seriedad, una imagen deprestigio, una imagen de firmeza"
3023,gallina,nf,"hen, coward","podían comer pato, faisán, paloma, ganso,gallina y perdices"
3024,espada,nf,sword,ese hombre murió con la espada en la mano
3025,discreto,adj,"discreet, tactful",debíamos ser discretas y nunca tener contactocon los clientes
3026,excelencia,nf,excellence,"para mí el conjunto por excelencia son losBeatles, me gustan muchísimo"
3027,agitar,v,"to shake, move",el viento agita sus hojas
3028,amoroso,adj,"loving, affectionate",la languidez temblorosa del primer encuentroamoroso 
3029,músculo,nm,muscle,"consiste en tensionar los músculos de tucuerpo, para relajarlos después"
3030,optimista,adj,optimistic,tenía una visión optimista del universo
3031,persecución,nf,"pursuit, persecution",hemos sufrido persecución por la justicia ypérdida de la libertad
3032,imperio,nm,"empire, fortune",leen de la grandeza del Imperio Romano
3033,casco,nm,helmet,el policía va protegido con un casco y con unescudo
3034,pelea,nf,"fight, quarrel","entre nosotros hay esa pelea, ese desorden,esas envidias, esos rencores"
3035,retorno,nm,return,"es una nueva Inquisición, el retorno a la peorbarbarie"
3036,oler,v,to smell,a oler aquel perfume rancio y femenino
3037,aludir,v,to allude to,el número nueve también alude al embarazode María
3038,vera,nf,"de veras: really, for real","¡ah, de veras! Sí, espantoso; claro"
3039,delgado,adj,"thin, skinny",su cuerpo era delgado pero bien propor-cionado
3040,latín,nm,Latin,conocía solamente las lenguas clásicas -latín ygriego -
3041,resumir,v,to summarize,siento no poder resumir los detalles técnicos
3042,rutina,nf,routine,el hecho de variar de actividad y de salir de larutina
3043,tenso,adj,"tight, tense",la piel quedaba tensa como cuero
3044,mejora,nf,improvement,es una mejora considerable en su nivel devida
3045,domicilio,nm,"residence, address",fue arrestado en su domicilio de la calleSuárez 75
3046,porquería,nf,"filth, junk",si hubiera podido arrancar esa porquería demi cabeza
3047,burlar,v,to mock,se burló de su secreto amor; lo avergonzó antesus amigos
3048,susto,nm,"fright, scare",el miedo y el susto la habían puesto rígida
3049,encajar,v,"to insert, fit well",hacía encajar la mentira en un mundoconvencionalizado
3050,nadar,v,to swim,ese chico no sabía nadar bien y casi se ahogó
3051,amanecer,nm,"daybreak, dawn","volvamos al salón, quiero bailar hasta elamanecer "
3052,célula,nf,cell (biology) ,cada célula humana contiene cuarenta y seiscromosomas
3053,acelerar,v,"to accelerate, speed (up)",sentí el corazón acelerar sus latidos y adelantéel paso
3054,crítico,nm,critic,los críticos la pueden juzgar como una obraextraordinaria
3055,inspiración,nf,"inspiration, inhalation",el amor era la inspiración de poetas
3056,ladrillo,nm,brick,se trataba de una moderna construcción deladrillo rojo
3057,proyección,nf,"projection, screening","la proyección que hacemos, lo que creemosque va a resultar"
3058,desplegar,v,"to unfold, deploy",el ataque contra la URSS se desplegó desde el océano Glacial Ártico
3059,desembocar,v,"to flow, lead into",en un gran delta antes de desembocar en elmar del Norte
3060,lana,nf,wool,en diciembre hacía frío y había que vestirse de lana
3061,indirecto,adj,indirect,tiene objetivo de beneficio directo e indirecto 
3062,infierno,nm,"hell, inferno",se supone que los pecadores malos van alinfierno 
3063,aliviar,v,"to lighten, relieve, comfort",todo inútil: no le pudo aliviar siquiera elsufrimiento
3064,acero,nm,steel,es como si este hombre heroico fuera deacero 
3065,ejecutivo,adj,executive,una parte de la primera Comisión Ejecutivabipartita
3066,cazar,v,to hunt,¿Cazar elefantes en el África fue parte de laaventura?
3067,ojalá,adv,I hope that,ojalá que así sea
3068,aplaudir,v,"to clap, applaud",comenzaron a aplaudir y a decir «¡VivaEspaña!»
3069,preso,nm,prisoner,el juez dice que se llevará a los presos a laPrisión de Badajoz
3070,billete,nm,"ticket, bill, note",compré un billete para dar otra vuelta en eltren
3071,motivar,v,"to motivate, cause",lo que motivó su protesta
3072,descuidar,v,to neglect,"enseñan bastante el francés, pero descuidanel español"
3073,referente,adj,concerning,contiene todos los datos referentes alabonado y su servicio
3074,tontería,nf,"stupidity, stupid thing","donde la ignorancia es felicidad, es tonteríaser juicioso"
3075,cauce,nm,"(river) bed, ditch","el río siempre irá por ese cauce, por ese valle"
3076,ignorancia,nf,ignorance,mi ignorancia del inglés no me permitíapreguntar
3077,acostar,v,to put/go to bed,vete luego a acostar para que mañana televantes temprano
3078,encanto,nm,"charm, spell",representó el encanto y la elegancia de esosviejos edificios
3079,propiamente,adv,"exactly, properly",le resultaba propiamente cosa de locos
3080,sed,nf,thirst,tengo mucha sed y no me vendría mal unvasito de cerveza
3081,escudo,nm,"shield, coat of arms ","espadas, lanzas, puntas de flechas, escudos,azuelas y hachas"
3082,muñeca,nf,"doll, wrist","tiene una muñeca que es bien bonita, que es otra Barbie"
3083,dotado,adj,"endowed, gifted",eres un hombre dotado de aptitudes nadadesdeñables
3084,conectar,v,"to connect, plug in","lo sintonizó, y conectó el auricular"
3085,rango,nm,"rank, range",los Estatutos tienen un rango jerárquicosuperior
3086,invento,nm,invention,Edison anunció en 1877 el invento delfonógrafo
3087,arder,v,"to burn, glow",con un beso que todavía me arde en la boca
3088,recinto,nm,"grounds, precincts","dentro de su recinto circular, con sus paseos,lago, ría, y canales"
3089,tinta,nf,ink,"con una pluma fina y la misma tinta negra,escribió su nombre"
3090,garganta,nf,"throat, gorge",tiene la garganta muy seca; un caramelo loaliviará
3091,viajero,nm,"traveler, passenger",es una guía turística para viajeros de fin desemana
